Site,Plot Name,Date,Total Hits,hits_C4,hits_C3,hits_AnnGrass,hits_Forb,hits_Brome,hits_VUOC,hits_SD,hits_Total,weight_Total,weight_C4,weight_C3,weight_Forb,weight_Brome,weight_VUOC,weight_AnnGrass,weight_SD,Year,project,Disturbance,Exclosure,hits_Subshrub,weight_Subshrub,Total_Hits_FG,Total_Weight_FG
clayey,1.0,2017-07-13,23,4,5,14,0,14,0,0,23,82.24000000000001,20.66,47.84,0.62,8.74,1.46,10.2,2.92,2017,PVSAGE,,,,,23,82.24
clayey,1.0,2018-07-24,29,0,7,11,2,11,0,0,20,108.1,2.4,56.1,4.7,32.8,1.3,34.099999999999994,10.8,2018,PVSAGE,,,,,20,108.1
clayey,1.0,2019-07-23,25,2,11,6,6,2,4,0,25,240.9,16.8,155.4,40.900000000000006,9.1,13.5,22.6,5.2,2019,PVSAGE,,,,,25,240.9
clayey,1.0,2020-07-27,16,1,6,1,0,0,1,8,16,66.96000000000001,6.06,17.64,0.0,0.1,2.64,2.74,40.52,2020,PVSAGE,,,,,16,66.96000000000001
clayey,1.0,2021-07-26,12,6,6,0,0,0,0,0,12,31.9342,13.44,14.56,1.2342000000000002,0.32,1.16,1.48,1.22,2021,PVSAGE,,,,,12,31.9342
clayey,2.0,2017-07-13,19,9,10,0,0,0,0,0,19,85.26,30.12,51.58,1.68,0.32,0.02,0.34,1.54,2017,PVSAGE,,,,,19,85.26
clayey,2.0,2018-07-24,42,11,15,12,4,9,3,0,42,126.6,22.4,71.1,4.4,14.5,5.7,20.2,8.5,2018,PVSAGE,,,,,42,126.60000000000001
clayey,2.0,2019-07-23,36,4,10,15,5,1,14,2,36,180.2,25.3,78.0,57.4,2.5,14.3,16.8,2.7,2019,PVSAGE,,,,,36,180.2
clayey,2.0,2020-07-27,35,10,15,4,0,4,0,6,35,65.52000000000001,8.98,12.54,0.0,3.16,0.64,3.8,40.2,2020,PVSAGE,,,,,35,65.52000000000001
clayey,2.0,2021-07-26,13,4,3,4,0,1,3,0,11,43.8512,5.44,35.56,0.0012,1.34,0.1986,1.5386000000000002,1.3114,2021,PVSAGE,,,,,11,43.8512
clayey,3.0,2017-07-13,11,2,9,0,0,0,0,0,11,61.42,18.48,39.56,0.04,0.1,0.4,0.5,2.84,2017,PVSAGE,,,,,11,61.42
clayey,3.0,2018-07-24,34,11,10,0,13,0,0,0,34,95.8028,32.4,33.1,23.1,4.3,1.3028,5.6028,1.6,2018,PVSAGE,,,,,34,95.80279999999999
clayey,3.0,2019-07-23,31,5,3,17,3,7,10,3,31,176.20000000000002,33.3,68.4,42.7,20.5,6.5,27.0,4.8,2019,PVSAGE,,,,,31,176.20000000000002
clayey,3.0,2020-07-27,50,7,7,12,0,12,0,16,42,60.949000000000005,2.64,18.76,0.009,3.58,0.6,4.18,35.36,2020,PVSAGE,,,,,42,60.949000000000005
clayey,3.0,2021-07-26,11,5,5,1,0,1,0,0,11,34.247800000000005,3.4,29.44,0.0078,0.68,0.0,0.68,0.72,2021,PVSAGE,,,,,11,34.247800000000005
clayey,4.0,2017-07-13,28,24,4,0,0,0,0,0,28,63.760000000000005,21.12,17.26,22.32,0.8,0.14,0.94,2.12,2017,PVSAGE,,,,,28,63.76
clayey,4.0,2018-07-24,51,1,21,11,0,11,0,0,33,126.3,16.3,74.5,1.2,19.0,0.4,19.4,14.9,2018,PVSAGE,,,,,33,126.30000000000001
clayey,4.0,2019-07-23,31,2,8,14,6,8,6,1,31,161.9,26.5,69.7,24.8,20.3,12.1,32.4,8.5,2019,PVSAGE,,,,,31,161.9
clayey,4.0,2020-07-29,16,0,6,5,0,4,1,4,15,88.47999999999999,12.18,14.44,0.0,6.48,1.8,8.280000000000001,53.58,2020,PVSAGE,,,,,15,88.47999999999999
clayey,4.0,2021-07-26,20,9,6,5,0,3,2,0,20,28.891000000000005,5.98,15.98,0.6434,5.64,0.255,5.895,0.3926,2021,PVSAGE,,,,,20,28.891000000000002
clayey,5.0,2017-07-13,29,4,5,4,0,4,0,0,13,95.96,16.4,56.94,5.38,11.42,0.26,11.68,5.56,2017,PVSAGE,,,,,13,95.96000000000001
clayey,5.0,2018-07-24,24,6,13,0,0,0,0,0,19,121.5,44.5,49.6,7.0,1.0,1.9,2.9,17.5,2018,PVSAGE,,,,,19,121.5
clayey,5.0,2019-07-23,29,9,2,9,5,0,9,1,26,181.7,35.5,69.7,44.900000000000006,1.0,22.3,23.3,8.3,2019,PVSAGE,,,,,26,181.70000000000005
clayey,5.0,2020-07-29,26,3,5,8,0,8,0,9,25,92.66,3.6,35.82,0.0,7.36,1.72,9.08,44.16,2020,PVSAGE,,,,,25,92.66
clayey,5.0,2021-07-26,22,0,7,4,0,4,0,3,14,45.7354,11.64,24.34,0.0154,5.1,0.12,5.22,4.52,2021,PVSAGE,,,,,14,45.7354
clayey,6.0,2017-07-13,16,7,9,0,0,0,0,0,16,52.24,24.46,20.48,6.78,0.02,0.16,0.18,0.34,2017,PVSAGE,,,,,16,52.24
clayey,6.0,2018-07-24,53,3,45,2,0,0,2,0,50,121.59999999999998,12.1,88.6,0.6,1.4,2.6,4.0,16.3,2018,PVSAGE,,,,,50,121.59999999999998
clayey,6.0,2019-07-23,28,5,13,5,5,0,5,0,28,173.49999999999997,36.9,91.6,28.8,0.3,12.4,12.7,3.5,2019,PVSAGE,,,,,28,173.50000000000003
clayey,6.0,2020-07-29,10,0,5,4,0,4,0,1,10,38.8788,2.32,9.08,0.0188,5.68,0.06,5.739999999999999,21.72,2020,PVSAGE,,,,,10,38.8788
clayey,6.0,2021-07-26,48,4,9,28,0,28,0,2,43,93.98,17.86,33.02,0.44,36.18,0.24,36.42,6.24,2021,PVSAGE,,,,,43,93.97999999999999
clayey,7.0,2017-07-13,20,12,7,1,0,0,1,0,20,64.96,13.96,41.64,2.26,2.48,4.62,7.1,,2017,PVSAGE,,,,,20,64.96
clayey,8.0,2017-07-13,18,16,2,0,0,0,0,0,18,43.220000000000006,34.84,7.3,1.06,0.02,0.0,0.02,,2017,PVSAGE,,,,,18,43.220000000000006
clayey,9.0,2017-07-13,12,3,7,2,0,0,2,0,12,77.18,22.32,45.0,1.06,2.4,6.4,8.8,,2017,PVSAGE,,,,,12,77.18
